prodcode,prodname,drugsubstance,bnfcode,strength
35953,RISPERDAL QUICKLET orodispersible tablet 4mg [JANSSEN],risperidone,4020100,4mg
36012,ribavirin tablets 400mg ,ribavirin,5030300,400mg
36101,CLOPIXOL ACUPHASE oily injection 50mg/1ml [LUNDBECK],zuclopenthixol acetate,04020100/04020200,50mg/1ml
36116,paliperidone modified release tablet 6mg ,paliperidone,4020100,6mg
36163,ZYPREXA tablets 20mg [LILLY],olanzapine,4020100,20mg
36318,sodium valproate modified release granules 1000mg ,sodium valproate,4080100,1000mg
36383,EXJADE dispersible tablet 250mg [NOVARTIS],deferasirox,9010300,250mg
36394,pipotiazine palmitate depot injection 100mg/2ml ,pipotiazine palmitate,4020200,100mg/2ml
36622,MONOTRIM suspension 50mg/5ml [CHEMIDEX],trimethoprim,5010800,50mg/5ml
36633,EPISENTA prolonged release capsules 150mg [BEACON],sodium valproate,4080100,150mg
36634,EPISENTA prolonged release granules 1000mg [BEACON],sodium valproate,4080100,1000mg
36771,haloperidol oral suspension 250micrograms/5ml ,haloperidol,04020100/04060000/04090300/23000000,250micrograms/5ml
36844,deferasirox dispersible tablet 500mg ,deferasirox,9010300,500mg
36954,INVEGA prolonged release tablet 6mg [JANSSEN],paliperidone,4020100,6mg
37306,SODIUM VALPROATE syrup 200mg/5ml [STERWIN],sodium valproate,4080100,200mg/5ml
37501,paliperidone modified release tablet 9mg ,paliperidone,4020100,9mg
37584,EPISENTA prolonged release granules 500mg [BEACON],sodium valproate,4080100,500mg
37606,ABILIFY orodispersible tablet 10mg [BMS],aripiprazole,4020100,10mg
37611,EPIVAL CR tablets 300mg [CHANELLE],sodium valproate,4080100,300mg
37660,EXJADE dispersible tablet 125mg [NOVARTIS],deferasirox,9010300,125mg
37661,EXJADE dispersible tablet 500mg [NOVARTIS],deferasirox,9010300,500mg
37705,chlorpromazine suspension 100mg/5ml ,chlorpromazine hydrochloride,04020100/04060000,100mg/5ml
37717,paliperidone modified release tablet 3mg ,paliperidone,4020100,3mg
37847,RESTANDOL TESTOCAPS capsules 40mg [ORGANON],testosterone undecanoate,6040200,40mg
37849,deferasirox dispersible tablet 250mg ,deferasirox,9010300,250mg
37871,CHLORPROMAZINE sugar free oral solution 25mg/5ml [ROSEMONT],chlorpromazine hydrochloride,04020100/04060000,25mg/5ml
38010,ABILIFY orodispersible tablet 15mg [BMS],aripiprazole,4020100,15mg
38080,ABILIFY oral solution 1mg/ml [BMS],aripiprazole,4020100,1mg/ml
38089,PROMAZINE syrup 50mg/5ml [ROSEMONT],promazine hydrochloride,4020100,50mg/5ml
38090,CO-TRIMOXAZOLE adult mixture 480mg/5ml [LAGAP],sulfamethoxazole/trimethoprim,05010800/05040800,480mg/5ml
38262,haloperidol injection 5mg/1ml ,haloperidol,04020100/04060000,5mg/1ml
38375,aripiprazole injection solution 9.75mg/1.3ml ,aripiprazole,4020100,9.75mg/1.3ml
38507,EPILIM CHRONOSPHERE modified release granules 100mg [SANOFI S],sodium valproate,4080100,100mg
38508,EPILIM CHRONOSPHERE modified release granules 250mg [SANOFI S],sodium valproate,4080100,250mg
38509,WILZIN capsules 50mg [ORPHAN],zinc acetate,9080101,50mg
38540,HALDOL injection 5mg/1ml [JANSSEN],haloperidol,04020100/04060000,5mg/1ml
38827,TRIPTAFEN M tablets 2mg + 10mg [GOLDSHIELD],amitriptyline hydrochloride/perphenazine,04020100/04030100,2mg + 10mg
38840,quetiapine modified release tablet 400mg ,quetiapine fumarate,4020100,400mg
38885,quetiapine modified release tablet 50mg ,quetiapine fumarate,4020100,50mg
38906,quetiapine modified release tablet 300mg ,quetiapine fumarate,4020100,300mg
38912,quetiapine modified release tablet 200mg ,quetiapine fumarate,4020100,200mg
38913,SEROQUEL XL modified release tablet 50mg [ASTRAZENEC],quetiapine fumarate,4020100,50mg
38914,SEROQUEL XL modified release tablet 200mg [ASTRAZENEC],quetiapine fumarate,4020100,200mg
38937,SEROQUEL XL modified release tablet 300mg [ASTRAZENEC],quetiapine fumarate,4020100,300mg
38939,EPILIM EC tablets 200mg [SANOFI S],sodium valproate,4080100,200mg
38949,EPILIM EC tablets 500mg [SANOFI S],sodium valproate,4080100,500mg
39039,sodium valproate modified release tablet 200mg ,sodium valproate,4080100,200mg
39237,SEROQUEL XL modified release tablet 400mg [ASTRAZENEC],quetiapine fumarate,4020100,400mg
39276,sodium valproate with valproic acid modified release granules 250mg ,sodium valproate,4080100,250mg
39279,EPILIM CHRONOSPHERE modified release granules 500mg [SANOFI S],sodium valproate,4080100,500mg
39427,sodium valproate with valproic acid modified release granules 750mg ,sodium valproate,4080100,750mg
39452,sodium valproate with valproic acid modified release granules 500mg ,sodium valproate,4080100,500mg
39550,EPILIM CHRONOSPHERE modified release granules 750mg [SANOFI S],sodium valproate,4080100,750mg
39569,deferasirox dispersible tablet 125mg ,deferasirox,9010300,125mg
39830,NEULACTIL tablets 2.5mg [SANOFI/AVE],pericyazine,4020100,2.5mg
39887,STEMETIL tablets 5mg [SANOFI/AVE],prochlorperazine maleate,04020100/04060000,5mg
39930,EPILIM CHRONOSPHERE modified release granules 50mg [SANOFI S],sodium valproate,4080100,50mg
39933,TRIMETHOPRIM tablets 200mg [ALMUS],trimethoprim,5010800,200mg
40001,STEMETIL syrup 5mg/5ml [SANOFI/AVE],prochlorperazine mesilate,04020100/04060000,5mg/5ml
40070,sodium valproate injection 300mg/3ml ,sodium valproate,4080100,300mg/3ml
40162,TRIFLUOPERAZINE tablets 1mg [HILLCROSS],trifluoperazine hydrochloride,04020100/04060000,1mg
40390,PROMAZINE syrup 25mg/5ml [ROSEMONT],promazine hydrochloride,4020100,25mg/5ml
40395,SODIUM VALPROATE crushable tablets 100mg [GEN (UK)],sodium valproate,4080100,100mg
40400,SODIUM VALPROATE tablets 500mg [CP PHARM],sodium valproate,4080100,500mg
40506,COPEGUS tablets 400mg [ROCHE],ribavirin,5030300,400mg
40586,clozapine tablets 50mg ,clozapine,4020100,50mg
40587,clozapine tablets 200mg ,clozapine,4020100,200mg
40779,quetiapine oral solution 100mg/5ml ,quetiapine fumarate,04020100/23000000,100mg/5ml
40782,levomepromazine tablets 6mg ,levomepromazine maleate,04020100/23000000,6mg
40881,NEULACTIL tablets 10mg [SANOFI/AVE],pericyazine,4020100,10mg
40932,quetiapine oral suspension 100mg/5ml ,quetiapine fumarate,04020100/23000000,100mg/5ml
41070,DENZAPINE tablets 50mg [MERZ],clozapine,4020100,50mg
41137,sodium valproate with valproic acid modified release granules 100mg ,sodium valproate,4080100,100mg
41420,HALOPERIDOL tablets 500 micrograms [SANDOZ],haloperidol,04020100/04060000/04090300,500 micrograms
41428,DENZAPINE tablets 200mg [MERZ],clozapine,4020100,200mg
41544,TRIMETHOPRIM tablets 100mg [IVAX],trimethoprim,5010800,100mg
41546,HALOPERIDOL liquid 1mg/ml [HILLCROSS],haloperidol,04020100/04060000/04090300,1mg/ml
41579,CO-TRIMOXAZOLE tablets 80mg+400mg [HILLCROSS],sulfamethoxazole/trimethoprim,05010800/05040800,80mg+400mg
41645,CHLORPROMAZINE injection 25mg/ml [ANTIGEN],chlorpromazine hydrochloride,04020100/04060000,25mg/ml
41663,TRIFLUOPERAZINE tablets 5mg [HILLCROSS],trifluoperazine hydrochloride,04020100/04060000,5mg
41675,SULPIRIDE tablets 200mg [IVAX],sulpiride,04020100/04090300,200mg
41702,AMISULPRIDE tablets 100mg [WINTHROP],amisulpride,4020100,100mg
41714,AMISULPRIDE tablets 50mg [WINTHROP],amisulpride,4020100,50mg
41732,PROMAZINE tablets 50mg [BIOREX],promazine hydrochloride,4020100,50mg
